Excel行,Excel名(C),Excel補助(G),Excel型番(F),旧O列,ラウンジ元価格,5%カット後,最終O列,ラウンジ名,ラウンジ型番,照合方法
161,【PSA10】究極竜騎士,ウルトラレア,GB7-003,990000,1077000,990840,990000,究極竜騎士,GB7-003(UR),- / PSA10,name+code
162,【PSA10】(レリーフ)XYZ-ドラゴン・キャノン,アルティメット,302-052,81000,88500,81420,81000,(レリーフ) XYZ-ドラゴン・キャノン,302-052,ULTIMATE,name+code+rarity
163,【PSA10】(レリーフ)XY-ドラゴン・キャノン,アルティメット,302-051,77000,84500,77740,77000,(レリーフ) XY-ドラゴン・キャノン,302-051,ULTIMATE,name+code+rarity
164,【PSA10】(レリーフ)溶岩魔神ラヴァ・ゴーレム,アルティメット,301-051,110000,122000,112240,110000,(レリーフ) 溶岩魔神ラヴァゴーレム,301-051,ULTIMATE,name+code+rarity
165,【PSA10】(レリーフ)暗黒騎士ガイア,アルティメット,PH-52,620000,678000,623760,620000,(レリーフ) 暗黒騎士ガイア,PH-52,ULTIMATE,name+code+rarity
166,【PSA10】(レリーフ)ブラック・デーモンズ・ドラゴン,アルティメット,MA-52,170000,194000,178480,170000,(レリーフ) ブラックデーモンズドラゴン,MA-52,ULTIMATE,name+code+rarity
167,【PSA10】(レリーフ)デーモンの召喚,アルティメット,SC-51,280000,308000,283360,280000,(レリーフ) デーモンの召喚,SC-51,ULTIMATE,name+code+rarity
168,【PSA10】(レリーフ)ヂェミナイ・エルフ,アルティメット,BC-34,180000,196000,180320,180000,(レリーフ) ヂェミナイエルフ,BC-34,ULTIMATE,name+code+rarity
169,【PSA10】(レリーフ)ブラック・マジシャン,アルティメット,LN-53,730000,795000,731400,730000,(レリーフ) ブラックマジシャン,LN-53,ULTIMATE,name+code+rarity
170,【PSA10】ラーの翼神竜,シークレット,G4-03,130000,143000,131560,130000,ラーの翼神竜,G4-03,- / PSA10,name+code
171,【PSA10】オベリスクの巨神兵,シークレット,G4-02,160000,182000,167440,160000,オベリスクの巨神兵,G4-02,- / PSA10,name+code
172,【PSA10】オシリスの天空竜,シークレット,G4-01,170000,191000,175720,170000,オシリスの天空竜,G4-01,- / PSA10,name+code
173,【PSA10】(レリーフ)サウザンド・アイズ・サクリファイス,アルティメット,TB-34,170000,194000,178480,170000,(レリーフ) サウザンドアイズサクリファイス,TB-34,ULTIMATE,name+code+rarity
174,【PSA10】青眼の白龍,ウルトラレア,LB-01,400000,436000,401120,400000,青眼の白龍,LB-01,- / PSA10,name+code
175,【PSA10】神炎皇ウリア(プリシク/オシリスレッド),プリズマティックシークレット,LPG1-JP056,36000,39900,36708,36000,神炎皇ウリア(プリシク/オシリスレッド),LPG1-JP056,PSE,name+code+rarity
176,【PSA10】永劫の神導龍,オーバーラッシュレア PREMIUM BLACK Ver.,RD/5TH1-JP001,99000,108000,99360,99000,永劫の神導龍,RD/5TH1-JP001,- / PSA10,name+code
177,【PSA10】ブラック・マジシャン・ガール,オーバーラッシュレア,ORP2-JP001,1060000,1163000,1069960,1060000,ブラックマジシャンガール OR,ORP2-JP001,- / PSA10,code_single
178,【PSA10】青眼の白龍,オーバーラッシュレア,RD/ORP1-JP001,350000,388000,356960,350000,青眼の白龍,RD/ORP1-JP001,- / PSA10,name+code
179,【PSA10】カオスソルジャー(オーバーラッシュ),オーバーラッシュレア,JP001,100000,113000,103960,100000,カオスソルジャー(オーバーラッシュ),JP001,- / PSA10,name+code
180,【PSA10】ガガガマジシャン－ガガガマジック(OFプリシク),プリズマティックシークレット,JP011,12000,14100,12972,12000,ガガガマジシャンーガガガマジック(OFプリシク),JP011,PSE,name+code+rarity
181,【PSA10】スターダスト・ドラゴン－ヴィクテム・サンクチュアリ(OFプリシク),プリズマティックシークレット,JP007,37000,41300,37996,37000,スターダストドラゴンーヴィクテムサンクチュアリ(OFプリシク),JP007,PSE,name+code+rarity
182,【PSA10】黒魔導のカーテン(OFプリシク),プリズマティックシークレット,JP003,170000,191000,175720,170000,黒魔導のカーテン(OFプリシク),JP003,PSE,name+code+rarity
183,【PSA10】サイバース・コントラクト・ウィッチ(OFプリシク),プリズマティックシークレット,JP018,44000,47900,44068,44000,サイバースコントラクトウィッチ(OFプリシク),JP018,PSE,name+code+rarity
184,【PSA10】サイバース・コード・マジシャン(OFプリシク),プリズマティックシークレット,JP017,10000,11300,10396,10000,サイバースコードマジシャン(OFプリシク),JP017,PSE,name+code+rarity
185,【PSA10】デコード・トーカー・インテグレーション(OFプリシク),プリズマティックシークレット,JP016,12000,14100,12972,12000,デコードトーカーインテグレーション(OFプリシク),JP016,PSE,name+code+rarity
186,【PSA10】星霜の魔術師－アストログラフ・マジシャン(OFプリシク),プリズマティックシークレット,JP015,10000,11300,10396,10000,星霜の魔術師－アストログラフマジシャン(OFプリシク),JP015,PSE,name+code+rarity
187,【PSA10】星読みの魔術師－ホロスコープ・マジシャン(OFプリシク),プリズマティックシークレット,JP014,10000,11300,10396,10000,星読みの魔術師ーホロスコープマジシャン(OFプリシク),JP014,PSE,name+code+rarity
188,【PSA10】四天の龍 オッドアイズ・ペンデュラム・ドラゴン(OFプリシク),プリズマティックシークレット,JP013,12000,14100,12972,12000,四天の龍オッドアイズペンデュラムドラゴン(OFプリシク),JP013,PSE,name+code+rarity
189,【PSA10】ガガガガール－ゼロゼロコール(OFプリシク),プリズマティックシークレット,JP012,71000,78000,71760,71000,ガガガガールーゼロゼロコール(OFプリシク),JP012,PSE,name+code+rarity
190,【PSA10】No.39 光の使者 希望皇ホープ(OFプリシク),プリズマティックシークレット,JP010,12000,14100,12972,12000,No.39光の使者希望皇ホープ(OFプリシク),JP010,PSE,name+code+rarity
191,【PSA10】シンクロ・エマージェンシー(OFプリシク),プリズマティックシークレット,JP009,8000,9400,8648,8000,シンクロエマージェンシー(OFプリシク),JP009,PSE,name+code+rarity
192,【PSA10】スタージャンク・シンクロン(OFプリシク),プリズマティックシークレット,JP008,10000,11300,10396,10000,スタージャンクシンクロン(OFプリシク),JP008,PSE,name+code+rarity
193,【PSA10】ハネクリボー・サバティエル LV１０(OFプリシク),プリズマティックシークレット,JP006,17000,18800,17296,17000,ハネクリボーサバティエルLV10(OFプリシク),JP006,PSE,name+code+rarity
194,【PSA10】F・HERO フレイム・ウィングマン(OFプリシク),プリズマティックシークレット,JP005,15000,16900,15548,15000,F・HEROフレイムウィングマン(OFプリシク),JP005,PSE,name+code+rarity
195,【PSA10】F・HERO シャイニング・フレア・ウィングマン(OFプリシク),プリズマティックシークレット,JP004,12000,14100,12972,12000,F・HEROシャイニングフレアウィングマン(OFプリシク),JP004,PSE,name+code+rarity
196,【PSA10】増殖するクリボー！(OFプリシク),プリズマティックシークレット,JP002,34000,37500,34500,34000,増殖するクリボー！(OFプリシク),JP002,PSE,name+code+rarity
197,【PSA10】トリプル・ヴァレル・リボルブ(OFプリシク),プリズマティックシークレット,JP018,8000,9400,8648,8000,トリプルヴァレルリボルブ(OFプリシク),JP018,PSE,name+code+rarity
198,【PSA10】ヴァレット・バラージュ(OFプリシク),プリズマティックシークレット,JP017,12000,14100,12972,12000,ヴァレットバラージュ(OFプリシク),JP017,PSE,name+code+rarity
199,【PSA10】ヴァレルロード・L・ドラゴン(OFプリシク),プリズマティックシークレット,JP016,21000,23500,21620,21000,ヴァレルロードLドラゴン(OFプリシク),JP016,PSE,name+code+rarity
200,【PSA10】四天の龍 ダーク・リベリオン・エクシーズ・ドラゴン(OFプリシク),プリズマティックシークレット,JP015,17000,18800,17296,17000,四天の龍ダークリベリオンエクシーズドラゴン(OFプリシク),JP015,PSE,name+code+rarity
201,【PSA10】四天の龍 クリアウィング・シンクロ・ドラゴン(OFプリシク),プリズマティックシークレット,JP014,17000,18800,17296,17000,四天の龍クリアウィングシンクロドラゴン(OFプリシク),JP014,PSE,name+code+rarity
202,【PSA10】四天の龍 スターヴ・ヴェノム・フュージョン・ドラゴン(OFプリシク),プリズマティックシークレット,JP013,17000,18800,17296,17000,四天の龍スターヴヴェノムフュージョンドラゴン(OFプリシク),JP013,PSE,name+code+rarity
203,【PSA10】GDロボ・オービタル ７(OFプリシク),プリズマティックシークレット,JP012,10000,11300,10396,10000,GDロボオービタル7(OFプリシク),JP012,PSE,name+code+rarity
204,【PSA10】銀河眼の輝光子竜(OFプリシク),プリズマティックシークレット,JP011,25000,28200,25944,25000,銀河眼の輝光子龍(OFプリシク),JP011,PSE,short_code+name+rarity
205,【PSA10】超銀河眼の光子龍－フォトン・ハウリング(OFプリシク),プリズマティックシークレット,JP010,21000,23500,21620,21000,超銀河眼の光子龍－フォトンハウリング(OFプリシク),JP010,PSE,name+code+rarity
206,【PSA10】レッド・デーモンズ・チェーン(OFプリシク),プリズマティックシークレット,JP009,8000,9400,8648,8000,レッドデーモンズチェーン(OFプリシク),JP009,PSE,name+code+rarity
207,【PSA10】スカーレッド・ノヴァ・ドラゴン－バーニング・ソウル(OFプリシク),プリズマティックシークレット,JP008,44000,47900,44068,44000,スカーレットノヴァドラゴンーバーニングソウル(OFプリシク),JP008,PSE,short_code+name+rarity
208,【PSA10】赤き竜 ケッツァーコアトル(OFプリシク),プリズマティックシークレット,JP007,17000,18800,17296,17000,赤き竜ケッツァーコアトル(OFプリシク),JP007,PSE,name+code+rarity
209,【PSA10】未来融合－フューチャー・フュージョン・ノヴァ(OFプリシク),プリズマティックシークレット,JP006,8000,9400,8648,8000,未来融合－フューチャーフュージョンノヴァ(OFプリシク),JP006,PSE,name+code+rarity
210,【PSA10】機光竜－サイバー・ドラゴン(OFプリシク),プリズマティックシークレット,JP005,39000,43400,39928,39000,機光竜－サイバードラゴン(OFプリシク),JP005,PSE,name+code+rarity
211,【PSA10】終撃竜－サイバー・エンド・ドラゴン(OFプリシク),プリズマティックシークレット,JP004,21000,23500,21620,21000,終撃竜－サイバーエンドドラゴン(OFプリシク),JP004,PSE,name+code+rarity
212,【PSA10】ドラゴン・導きの呼笛(OFプリシク),プリズマティックシークレット,JP003,12000,14100,12972,12000,ドラゴン導きの呼笛(OFプリシク),JP003,PSE,name+code+rarity
213,【PSA10】蒼の深淵 ディープアイズ・ホワイト・ドラゴン(OFプリシク),プリズマティックシークレット,JP002,41000,45000,41400,41000,蒼の深淵ディープアイズホワイトドラゴン(OFプリシク),JP002,PSE,name+code+rarity
214,【PSA10】白き幻獣－青眼の白龍(OFプリシク),プリズマティックシークレット,JP001,200000,224000,206080,200000,白き幻獣－青眼の白龍(OFプリシク),JP001,PSE,name+code+rarity
215,【PSA10】ブラック・マジシャン・ガール(OK/プリシク),プリズマティックシークレット,JP002,56000,61000,56120,56000,ブラックマジシャンガール(OK/プリシク),JP002,PSE,name+code+rarity
216,【PSA10】賜炎の咎姫(許さない/プリシク),プリズマティックシークレット,JP025,21000,23500,21620,21000,賜炎の咎姫(許さない/プリシク),JP025,PSE,name+code+rarity
217,【PSA10】クロシープ(うんうん/プリシク),プリズマティックシークレット,JP024,10000,11300,10396,10000,クロシープ(うんうん/プリシク),JP024,PSE,name+code+rarity
218,【PSA10】I：Pマスカレーナ(おまたせ!プリシク),プリズマティックシークレット,JP023,25000,28200,25944,25000,IPマスカレーナ(おまたせ!プリシク),JP023,PSE,name+code+rarity
219,【PSA10】セラの蟲惑魔(えへへ/プリシク),プリズマティックシークレット,JP022,25000,28200,25944,25000,セラの蟲惑魔(えへへ/プリシク),JP022,PSE,name+code+rarity
220,【PSA10】天霆號アーゼウス(マカセロ!/プリシク),プリズマティックシークレット,JP021,10000,11300,10396,10000,天霆號アーゼウス(マカセロ!/プリシク),JP021,PSE,name+code+rarity
221,【PSA10】P.U.N.K.JAMドラゴン・ドライブ(あけましておめでとう!/プリシク),プリズマティックシークレット,JP020,10000,11300,10396,10000,P.U.N.K.JAMドラゴンドライブ(あけましておめでとう!/プリシク),JP020,PSE,name+code+rarity
222,【PSA10】氷結界の龍 トリシューラ(YES!/プリシク),プリズマティックシークレット,JP019,10000,11300,10396,10000,氷結界の龍トリシューラ(YES!/プリシク),JP019,PSE,name+code+rarity
223,【PSA10】白き森のアステーリャ(むぅ/プリシク),プリズマティックシークレット,JP018,17000,18800,17296,17000,白き森のアステーリャ(むぅ/プリシク),JP018,PSE,name+code+rarity
224,【PSA10】白銀の城のラビュリンス(お待ちしております/プリシク),プリズマティックシークレット,JP017,34000,37500,34500,34000,白銀の城のラビュリンス(お待ちしております/プリシク),JP017,PSE,name+code+rarity
225,【PSA10】鉄獣戦線 キット(ニャるほど!/プリシク),プリズマティックシークレット,JP016,17000,18800,17296,17000,鉄獣戦線キット(ニャるほど!/プリシク),JP016,PSE,name+code+rarity
226,【PSA10】黄金卿エルドリッチ(おつかれ/プリシク),プリズマティックシークレット,JP015,10000,11300,10396,10000,黄金卿エルドリッチ(おつかれ/プリシク),JP015,PSE,name+code+rarity
227,【PSA10】朔夜しぐれ(泣ける/プリシク),プリズマティックシークレット,JP014,12000,14100,12972,12000,朔夜しぐれ(泣ける/プリシク),JP014,PSE,name+code+rarity
228,【PSA10】ドラゴンメイド・ラドリー(すみません!/プリシク),プリズマティックシークレット,JP013,12000,14100,12972,12000,ドラゴンメイドラドリー(すみません!/プリシク),JP013,PSE,name+code+rarity
229,【PSA10】原始生命態ニビル(向かってます/プリシク),プリズマティックシークレット,JP012,10000,11300,10396,10000,原始生命態ニビル(向かってます/プリシク),JP012,PSE,name+code+rarity
230,【PSA10】閃刀姫－レイ(真剣です!/プリシク),プリズマティックシークレット,JP011,21000,23500,21620,21000,閃刀姫レイ(真剣です!/プリシク),JP011,PSE,name+code+rarity
231,【PSA10】屋敷わらし(ダメです/プリシク),プリズマティックシークレット,JP010,12000,14100,12972,12000,屋敷わらし(ダメです/プリシク),JP010,PSE,name+code+rarity
232,【PSA10】灰流うらら(無効です/プリシク),プリズマティックシークレット,JP009,34000,37500,34500,34000,灰流うらら(無効です/プリシク),JP009,PSE,name+code+rarity
233,【PSA10】魔界発現世行きデスガイド(こちらデス/プリシク),プリズマティックシークレット,JP008,12000,14100,12972,12000,魔界初現世行きデスガイド(こちらデス/プリシク),JP008,PSE,short_code+name+rarity
234,【PSA10】増殖するG(キラーン/プリシク),プリズマティックシークレット,JP007,21000,23500,21620,21000,増殖するG(キラーン/プリシク),JP007,PSE,name+code+rarity
235,【PSA10】N・アクア・ドルフィン(オッケー!/プリシク),プリズマティックシークレット,JP006,10000,11300,10396,10000,Nアクアドルフィン(オッケー!/プリシク),JP006,PSE,name+code+rarity
236,【PSA10】ワイト(そう思う/プリシク),プリズマティックシークレット,JP005,12000,14100,12972,12000,ワイト(そう思う/プリシク),JP005,PSE,name+code+rarity
237,【PSA10】真紅眼の黒竜(いくぜ!/プリシク),プリズマティックシークレット,JP004,17000,18800,17296,17000,真紅眼の黒竜(いくぜ!/プリシク),JP004,PSE,name+code+rarity
238,【PSA10】ブラック・マジシャン(ドン☆/プリシク),プリズマティックシークレット,JP001,21000,23500,21620,21000,ブラックマジシャン(ドン☆/プリシク),JP001,PSE,name+code+rarity
239,【PSA10】閃刀姫＝ゼロ,プリズマティックシークレット,DUAD-JP049,63000,69000,63480,63000,閃刀姫＝ゼロ,DUAD-JP049,- / PSA10,name+code
240,【PSA10】閃刀姫カガリ(25th/右向),クォーターセンチュリーシークレット,JP059,9000,10300,9476,9000,閃刀姫カガリ(25th/右向),JP059,QCSE,name+code+rarity
241,【PSA10】閃刀姫－レイ(25th/双剣),クォーターセンチュリーシークレット,QCAC-JP008,0,21600,19872,19000,閃刀姫レイ(25th/片手剣),QCAC-JP008,QCSE,name+code+rarity
242,【PSA10】閃刀姫－カイナ,20thシークレット,JP055,38000,42200,38824,38000,閃刀姫カイナ,JP055,- / PSA10,name+code
243,【PSA10】超魔導竜騎士－ドラグーン・オブ・レッドアイズ(20th),20thシークレット,JP001,31000,33800,31096,31000,超魔導竜騎士ドラグーンオブレッドアイズ(20th),JP001,20TH,name+code+rarity
244,【PSA10】エフェクトヴェーラー(ウルトラ/YCSJ),ウルトラレア,JP002,0,291000,267720,260000,エフェクトヴェーラー(ウルトラ/YCSJ),JP002,ULTRA,name+code+rarity
245,【PSA10】結束と絆の超魔導剣士(25th),クォーターセンチュリーシークレット,JP000,0,60000,55200,55000,結束と絆の超魔導剣士(25th),JP000,QCSE,name+code+rarity
249,【PSA10】青眼の亜白龍(シークレット/Discord公式サーバー登録キャンペーン),シークレット SPECIAL BLUE Ver.,JP003,160000,184000,169280,160000,青眼の亜白龍(シークレット/Discord公式サーバー登録キャンペーン),JP003,- / PSA10,name+code
250,【PSA10】青眼の白龍(25th/サイドプライド),クォーターセンチュリーシークレット,QCCP-JP001,43000,46900,43148,43000,青眼の白龍(レリーフ/QCCP),QCCP-JP001,ULTIMATE,name+code
251,【PSA10】青眼の白龍,TOKYO DOME GREEN Ver.,TD02-JP001,100000,113000,103960,100000,青眼の白龍,TD02-JP001,- / PSA10,name+code
